codigo_erp,referencia,categoria_gestion,subcategoria_1_gestion,subcategoria_2_gestion,descripcion_guia,clasificacion_py,equivalencia_py,peso_neto
075205902,92.01.01.002,,,,ARROZ DIANA 500GRX25U BONIF,,,
70.13.05.001,70.13.05.001,,,,ETIQUETA SALSA INGLESA NONA PEPA 165 GR FLEXOLABEL SAS,,,
0431005A00,418009084,,,,REPUESTO AMBIENT ETERNA SELVA MISTICAX12,,,
016068002,310005560,,,,BARRILETE ARCOIRIS FRIOX16DX24U,,,
029353014,61006798,,,,(6.9%) 2 LSS TALC CREMAX9GRX24D,,,
70.18.03.016,70.18.03.016,,,,ETIQUETA DULCE LECHE NONAPEPA *5000 IMPREX PUBLICIDAD,,,
029189009,CO01101A,,,,(12.40%) FABULOSO LAVANDA DPACKX200CCX72U,,,
052072005,12399371,,,,(10%) DOG CHOW CACH. R/MED-GDE XLIFEX22.7KGX1BT,,,
70.09.02.027,70.09.02.027,,,,ARTES/ARTES COIMPRESION MOVIL BBQ 500G NAPOLI-GOURMET NAPOLI 400G-PIÑA NONA PEPA 500G,,,
60.01.01.013,60.01.01.013,,,,ENVASE GALON GARRAFA TIPO JUGO NATURAL,,,
029067056,SUAV 18+2,,,,PPK 1 TAT P12 LL14 SUAVITEL SURT X200ML,,,
029197030,CO01877A,,,,(2%) JABON PALM FRUT BOSQ&AGUA COCOX120GRX72U,,,
60.01.04.080,60.01.04.080,,,,"BOLSA COIMPRESION MOVIL 4000G X 2MOSTAZA CLASICA,MAYONESAPREMIUM ALICO D24437",,,
029403049,CO01607A,,,,(EMP) CDC MENTAX60MLX144U,,,
1316007B05,646059,,,,MM 12 ALGODON TRADICIONAL MKX432DPX25G (20%),,,
029134014,FMX01714A,,,,(24.70%) AXION LIQUIDO LIMON X400CCX12U,,,
2807013B04,12241963,,,,1 GATSY CARNE 17KG+1  ALPO 400GR,,,
052952002,12319024,,,,PRO PLAN ACTIVE MIND R/MED GDE X3KGX6U BONIF,,,
0419013B17,472108074,,,,PG 36 UND LAVALOZA CREMA LIMPIA YA 450G GTS 4 UND GUANTE LIMPIA YA,,,
052250906,FMXE11146A,,,,CDC TRIPLE ACCIONX22CCX144U BONIF,,,
1690001B06,1690001B06,,,,CHAO CEREZA + CHAO ORIGINAL GTS 2 TRULULU SABORES+GUSANOS ACIDOS,,,
4001009B06,81000006,,,,CB PG 12 LL 13 SUPREMO 300 GR,,,
052250905,FMXE11146A,,,,CDC TRIPLE ACCIONX22CCX144U BONIF,,,
019012016,019012016,,,,4 P.POP (2FRESA+1 SURT G+1M/LENG) GTS 1 PIN POP MORA,,,
0190008B05,0190008B05,,,,PREPACK COMPRE 12 CD TA 75ML GRATIS 1 TA EW 60ML,,,
60.06.04.017,60.06.04.017,,,,ETIQUETA SELLOS DE ADVERTENCIA SODIO GRASA SATURADA PAREJA VERTICAL 3.9X3.9,,,
029178019,61003803,,,,(TPR) FABULOSO ALT CLORO LAVANDA DPACKX1500CCX8U,,,
016256,210002950,,,,TRULULU MASMELOS NUBESX12DX65G,,,
3428051A00,200103006 ,,,,GLASSE FRUIT MORA 1000 GDOYPACK X 12 UND,,,
029105001,61014194,,,,(25%) AXION CREMA ANTIBACTERIAL X450GX24U,,,
60.03.04.011,60.03.04.011,,,,CAJA 4 GALONES ENVASE,,,
029515002,CO01699A,,,,ENJ PLAX ICE GLACIALX500ML+250MLX12U,,,
60.01.11.005,60.01.11.005,,,,ROLLO ESTAMPADO ACEITE SOYA LA HUERTA 50 ML SACHET *KG EPIFLEX,,,
1634001A00,1634001A00,,,,AGUA DE COCO SUPERCOCOX24BX200ML,,,
16.01.01.001,16.01.01.001,,,,BBQ 250 G CLASICA DOÑA PEPA DOYPACK,,,
052487001,12396142,,,,(P.E) EXCELLENT ADUL CAT SMART 7.5KGX1U ,,,
044041001,01900000,,,,PLATO MED DOMINGO CLUBX15PX40U,,,
029109045,CO02075A,,,,(18.20%) AXION CREMA PODER/PLASTX850GRX12U,,,
3304014B06,3304014B06,,,,TAT 4 FLIPS CHOCOLATE 120G + 2 FLIPS DULCE LECHE 120G GTS 1 FLIPS CHOCOLATE 120G,,,
1307003B02,93060,,,,OFERTA TAT IBUFLASH MIGRAN MKX1DPX12CAP GTS 1 CDC TRIPLE ACCION 22ML,,,
069005900,4260,,,,BONIF DETERGENTE AS BICARB+JAB REYX125GRX96U,,,
052072002,12399371,,,,(13%) DOG CHOW CACH. R/MED-GDE XLIFEX22.7KGX1BT,,,
029134017,MX02858A,,,,LAVAT AXION  COMPLETE ENJUAGX750MLX12U,,,
029109060,029109060,,,,PPACK MM - 8  AXION CREMAX850G GTS 03 AXION 360ML,,,
069244,63220,,,,DETERGENTE AS BICAR/CANELAX250GX48U,,,
044095,00016,,,,COPA VINO RUMBA PLATINUMX15PQX8U,,,
019074,03873,,,,BIAGI ARTESANO CARAMELO TOFFEEX20DX50U,,,
052950058,052950058,,,,ACTIVACION PS OCTUBRE,,,
075205023,02030505,,,,P.E TAT HARINA AREPA REPA BLANCA 1000GRX20U,,,
2843106B01,12565230,,,,6%P.E PRO PLAN ADUL R/PEQ 6UX3KG,,,
029188100,029188100,,,,COMBO MM - EXHIBICION AXION 850GR - PPK ABRIL 2022,,,
052971001,12295040,,,,PRO PLAN REDU/CALORIE  COMPLETX3KGX6U BONIF,,,
052068011,12309080,,,,DOG CHOW CACHORRITAS X2KGX6U,,,
0101017B01,61002715,,,,(13%) SUAVITEL COMPLETE LAVANDAX180MLX48U,,,
60.06.04.013,60.06.04.013,,,,ETIQUETA SELLOS DE ADVERTENCIA AZUCAR INDIVUDUAL 9.1X9.1,,,
052039005,12434363,,,,FELIX CLASSIC CON SARDINAX85GRX15U,,,
60.01.05.011,60.01.05.011,,,,TAPA 48-2010 BLANCA ARO ALTO,,,
071236030,110152,,,,PPACK MM - PÑ WINNY ULTSEC ET4X8DPX30U GTS 01 LIMPIDO,,,
2846001B01,12447797,,,,P.E 20%PRO PLAN CAT KITTENX 1.5KGX6U,,,
029068119,61020297,,,,SSM SUAVITEL VAINILLAX180MLX56U,,,
60.01.06.015,60.01.06.015,,,,ENVASE MARGARINA 200- FABRICADO,,,
016220003,210004978,,,,TRULULU SNACKSX1CJX18DX55GR,,,
003599001,50004,,,,HARINA DEL SOL X1000GRX10U,,,
11.13.01.002,11.13.01.002,,,,MAYONESA 200 GR OBA,,,
029068904,61005265,,,,SUAVITEL FRESCA PRIMAVERAX360X24U BONIF,,,
016400001,210004316,,,,BARRA ORIGAMI NUECES  SURTX12DX6U P.E,,,
016065,310002528,,,,BARRILETE BOMBOMX15DX24U,,,
19.05.02.011,19.05.02.011,,,,(NO USAR) ACEITE 5000 ML BAND *4 SOYA NONA PEPA PETPACK,,,
20.03.01.003,20.03.01.003,,,,GLASSE SONRISAS YERMAN FRESA 5000 GRS,,,
1313025A00,87245,,,,DES YODORA TUBO RISTRAX12U+M/ROLONX2U GTS TALCO60G,,,
70.01.06.003,70.01.06.003,,,,ETIQUETA MAYONESA AMERICANA LOS PINOS 3350 G SINERGIA,,,
017085,3466,,,,MARCADOR BORRABLE EXPO NEGROX12DXP10LL12U,,,
016069049,016069049,,,,1 CHAO SANDIA+ 1 CHAO LIMON GTS COQUITOS,,,
60.03.04.015,60.03.04.015,,,,CAJA DE TOMATE BOLSA BOXCARTON SAS,,,
052026020,12241963,,,,P.E GATSY CARNE ARROZ Y MAIZX17KX1BT,,,
029406026,MX03163B,,,,(EMP) CDC T/ACCION EXT BLANCX75CCX72U,,,
19.01.02.010,19.01.02.010,,,,(NO USAR) ACEITE 2800 ML CAJA *6 SOYA DOÑA PEPA PETPACK,,,
9934001A00,190102012,,,,ACEITE 20 L SOYA DOÑA PEPA BIDON,,,
052950031,052950031,,,,ACTIVIDADES ROTACION FEBRERO,,,
60.06.04.021,60.06.04.021,,,,ETIQUETA TERMICA 80X40 MM BLANCA,,,
019091,02967,,,,MENTA HELADA SURTIDAX16DX100U,,,
0425005B02,471000182,,,,PG 6 LL 7 SUAVIZANTE  LIMPIA YA PRIMAV DPACK 760ML,,,
071400050,071400050,,,,TAT MM - P6 ROPA COLOR450 GRTS 1 LIMPIDO REGULAR460 GTS TOALLA CLOROX EXPERT 15,,,
071011,700481,,,,VITA C+ZINC MK TBMT CEREZAX500MGX1DPX100U,,,
073004001,1003680,,,,AJO EN POLVO BADIA 453.6GRX6U,,,
4001009B26,81000006,,,,MM PG 12 SUPREMO MULTIUSOS 300GR GTS 2 SUPREMO 200GR,,,
20.03.10.001,20.03.10.001,,,,GLASSE SONRISAS YERMAN GUANÁBANA 1000 GRS,,,
61.01.03.001,61.01.03.001,,,,MATERIAL DE ARCHIVO,,,
15.04.01.005,15.04.01.005,,,,MOSTAZA 2000 G NONA PEPA DOYPACK,,,
3190001B11,3190001B11,,,,PIN MARACU+LULIMON+GIGFRESA+PIN SURT+MORAAZULGTS FERXXO,,,
1619080B02,210005044,,,,TAT CB EXHIBI 24 CARAS GTS 8 TRULULU NAVIDAD 60GR,,,
50.19.01.003,50.19.01.003,,,,POLIPROPILENO BRASKEM FT 120 W SYRUS QCA,,,
037005003,4980,,,,PILA AA EVEREADY CARBX12RX10PAR,,,
003602001,260301003,,,,DULCE DE LECHE GRANNY 500GR X 12U,,,
11.05.02.009,11.05.02.009,,,,N/A,,,
029135027,61000953,,,,(P.E) TAT AXION DISCO LIMON X130GX72U,,,
074001003,1001,,,,(TAT MM) COLADO MANZANA HEINZ 113GX24U,,,
70.18.01.005,70.18.01.005,,,,ETIQUETA LECHE CONDESADA GARRAFA *2100GR NONA PEPA,,,
071057,162702,,,,NORAVER GRIPA BNOCHE P9 LL12,,,
240201015,240201015,,,,COMBO - SALSA SAZONADORAS SURTIDAS LLEVE 13 PAGUE 12 HUERTA,,,
029066014,CO02052A,,,,(20%) SSM SUAV PRIMAVERAL DPACKX1500CCX8U,,,
071080035,071080035,,,,TAT 3%BONPLUSX20+NOR BNOCHEX8+DURAFEX MUSCX6GTS 1 LMPIDO REGULAR,,,
70.11.04.004,70.11.04.004,,,,ETIQUETA  GLASSES BOLSA 4000 CHOCOLATE,,,
11.03.01.006,11.03.01.006,,,,MAYONESA 50 G RISTRA *12 GOURMET LA HUERTA SACHET,,,
031030001,4200372,,,,PH NUBE MAX BCO STD 3HX4DX12U P.E,,,
006473,03438,,,,FRAGANTY VAINLLA DULCEX2000MLX12U,,,
16.03.01.003,16.03.01.003,,,,BBQ 1000 G CLASICA LA HUERTA DOYPACK,,,
4001015B05,81000332,,,,PG 1 LL 3 SUPREMO COCO 180GR,,,
052999013,052999013,,,,PASADIA PURINA OCT-NOV 2018 - PS,,,
70.05.03.006,70.05.03.006,,,,CTQ SALSA BBQ 370 NONA PEPA,,,
029081002,61005265,,,,(7%) SUAVITEL FRESCA PRIMAVERAX360X24U,,,
052999007,052999007,,,,GORRAS DE PURINA PET CARE,,,
029116041,CO01268A,,,,(8.10%) AXION CREMA LIMONX235GX48U,,,
9922009A00,9922009A00,,,,PAN HNA MAIZ BLANCA 500GRX24UND,,,
70.18.03.010,70.18.03.010,,,,ETIQUETA SALSA BBQ NONAPEPA *170 IDEAS BRILLANTE,,,
9946017A00,9946017A00,,,,BOCADILLO DE GUAYABA 280GR,,,
029116010,61031527,,,,(8.10%) AXION CREMA LIMON XTREME235GX48U,,,
60.03.02.015,60.03.02.015,,,,EMPAQUE RISTRA DULCE DE LECHE NONAPEPA,,,
052999068,052999068,,,,COMBOS PRO PLAN 10KG + WET OCTUBRE,,,
3107027B02,7900,,,,17% MM TROLLI BANANAS 6UX49G,,,
3005001A00,IMG047,,,,POPPING CANDY JARRA 100UX12DP,,,
029400002,FCO34441A,,,,(EMP) CDC MENTAX150CCX48U,,,
029220026,CO01854A,,,,(P.E) MM JABON PROTEX HERBALX120GX72U,,,
075205031,075205031,,,,MM SARDINA OVAL TOMATE425 6 GTS 1 CDC MENTAX60ML,,,
074032,K007,,,,CHEEZ WHIZ ORIGINAL 425GX12U,,,
003673002,003673002,,,,TAT 6 MARGARINA NAPOLIX200GR GTS 1 SALSA AJI,,,
80.01.02.003,80.01.02.003,,,,LECHE EN POLO 200 PROLECHE,,,
60.01.04.031,60.01.04.031,,,,BOLSA ESTAMPADASALSA ROSADA 800 NONA PEPA ALICO,,,
052067002,12253596,,,,DOG CHOW ADU. R/PEQ BOLSAX1KGX8U,,,
2504001B10,01011619,,,,TAT 8 ATUN LA SOBERANA ACEITE X140GRX48U GTS 1 HARINA 500GR,,,
052033003,12380269,,,,(25%) FELIX ORIGINAL ATUN X156GX24U,,,
052365,12295040,,,,PRO PLAN REDU/CALORIE  COMPLETX3KGX6U,,,
16.01.06.017,16.01.06.017,,,,ENVASE MARGARINA 600- FABRICADO,,,
50.15.01.002,50.15.01.002,,,,BICARBONATO *25KL LA CASA DEL PANADERO,,,
029109011,CO01952A,,,,(15%) 2 AXION CREMA FUSION BICAR/TORX450GX12OF P.E,,,
2210018B01,2210018B01,,,,6 ACEITE NAPOLY 110 ML,,,
069241,63208,,,,DETERGENTE AS GOLASO X1000GX20U,,,
006023012,21017,,,,BETUN#1 NEGROX12GRX144U,,,
029364019,FUS00817B,,,,DES LSS BARRA ALOE DEF BABYPOWDERX45GX12U,,,
029220036,CO01853A,,,,JABON PROTEX MACADAMIA X120GX72U,,,
19.01.02.013,19.01.02.013,,,,(NO USAR) ACEITE 3000 ML CAJA *6 SOYA DOÑA PEPA PETPACK,,,
4001009B15,81000006,,,,TAT 8% 12 UND SUPREMO 300 GR,,,
0190008B02,0190008B02,,,,PREPACK PAGUE 6 PROTEX 110G GRATIS 1 PROTEX 110G,,,
016253,210003129,,,,TRULULU JUGUETES PIRAMIDALX12DX50U,,,
0106140B08,61030381,,,,(P.E MM CAJA) FABULOSO  FLORALX180MLX72U,,,
70.07.02.002,70.07.02.002,,,,ETIQUETA CIRUELA 400 CLASICA LA HUERTA,,,
240201006,240201006,,,,COMBO - MAY GOURMET 400G + TOMATE 250GR HUERTA,,,
071256017,071256017,,,,TAT PÑ WINNY ULT ET3+TOA+YODORA C.TUBO+TOA WINNY ALOE+VIT+ GR.1 LIMP RG M/USOS,,,
1328048B02,502278,,,,P.E CLOROX  ORIGINALX460MLX24U,,,
60.01.01.004,60.01.01.004,,,,TAPA AMARILLA MARGARINA- FABRICADA,,,
073045,1003225,,,,TE DE MANZANILLA ANIS BADIA 1.3GRX10BX20D,,,
4001001B06,81000004,,,,PG 46 LL 48 SUPREMO MULTIUSOS 100 GR,,,
068030902,1045939,,,,MM VELA FAROL BELLA LUZ 30X12U BONIF (150.000),,,
60.03.03.005,60.03.03.005,,,,CAJA CARTON ACEITE 3000 BOXCARTON SAS,,,
018046013,450102068,,,,GUANTE MAX.PROTECC.EXTRA LARGO L X72U,,,
075276,03080003,,,,GARBANZO SOBERANA 50KGXBTO,,,
70.02.03.003,70.02.03.003,,,,ETIQUETA TOMATE *1000 G CLASICA DOÑA PEPA,,,
3190001B63,3190001B63,,,,TAT PG 2 FRUNAS ORIGINAL GTS 1 BOMBONERA,,,
029134009,MX04694A,,,,AXION LIQUIDO AVENA X640CC X12U,,,
052413,12460967,,,,PRO PLAN REDUCED CALORIE M/LX6UX3KG,,,
003662,1242050201,,,,MAYONESA GRANNY RINDE/SABOR 3350GRX5U,,,
029351049,61004382,,,,(10%) MSS CLINICAL DRY CREMA TAPAX9GRX24DX20S,,,
052925001,12238432,,,,FELIX SENS PAVO EN SALSAX85GRX24U BONIF,,,
50.09.07.001,50.09.07.001,,,,ESENCIA DE DURAZNO *5KG DISAROMAS,,,
069244002,63220,,,,DETERGENTE AS BICAR/CANELAX250GX48U P.E,,,
029364,US00188A,,,,DES LSS BARRA COOL AZULX45GX12U,,,
003154,1020275270,,,,PASTA CONCHA GRANNY X500GX12U,,,
069330011,069330011,,,,6 DETERGENTES LIQ DERSA400ML GTS 1 SUAV ETERNA PRIMAVERAL450ML,,,
071338003,624495,,,,CLOROX ROPA COLORX2000MLX6U,,,
2237025A00,1000090084,,,,CONCHA PREMIUMX250GX24U,,,
002151,31061,,,,SPRAY FLIA ANTIBACTERIALX9MLX24,,,
052068023,12335238,,,,DOG CHOW CACH. R/PEQ BOLSAX475GX18U,,,
052067900,12282744,,,,DCHOW CACH TROZI DEPOLLOJUGOSOX100GX24U BONIF,,,
073035006,1003434,,,,SAL MARINA GRUESA BADIA 269.32GRX12U,,,
003330001,1010192910,,,,(P.E) ACEITE OLIVA NAPOLI PUROX125MLX12U,,,
029068906,61002720,,,,SUAVITEL PRIMAVERAL X200MLX48U BONIF,,,
074101,2214,,,,MEREY PLANTERS SALTED CASHEWS 42GRX6DPX18U,,,
069902,61103,,,,DETER AS PODER AZUL X1000GX20U BONIF,,,
074038002,29471,,,,PICNIC PACK HEINZ (MAYO443G+BBQ606G+KETC567PET) 1.446GX4U,,,
60.03.09.003,60.03.09.003,,,,CAJA CARTON PICNIC PACK MOSTAZA+TOMATE+TOMATE REF 2947 CALIBRE 52 ASHER,,,
1325061B04,110244,,,,MM PÑ WINNY  ULTSEC ET5X8DPX30U+1 LIMPIDO REG 460ML,,,
029109005,CO02098A,,,,(25%) AXION CREMA CARBON X450GX24U,,,
70.01.09.004,70.01.09.004,,,,ETIQUETA MAYONESA KARLA PREMIUM 900 G SINERGIA PUBLICIDAD,,,
2507032B04,01021626,,,,TAT 8 CONSERVA SOBERANA LOMOFINO 140GR GTS 1 SARDINA OVAL TOMATE 245GR,,,
052905002,12409082,,,,DOG CHOW ADUL C/CORDEROX100GX15U BONIF,,,
013358,34203,,,,PAÑO ANTIB FK FLAT NIÑOX6DX24U,,,
052053901,12400316,,,,BONIF DOG CHOW CACH R/PEQXLIFEX350X24U,,,
019010005,05226,,,,PIN POP + POLVO ACIDOX12DX12U,,,
20.02.03.004,20.02.03.004,,,,GLASSE CHOCOLATE 1000 GR GRANNY DOYPACK X12 UND,,,
50.04.01.001,50.04.01.001,,,,ACEITE DE SOYA GRANEL *34TON,,,
006450,02309,,,,LAVAMIL CREM. LIMONX450GX24U,,,
12.07.02.004,12.07.02.004,,,,TOMATE NAPOLI SABOR ORIGINAL 4000 GRM X4UND,,,
92.01.01.002,92.01.01.002,,,,ARROZ DIANA 500GR X25 UND,,,
50.09.05.001,50.09.05.001,,,,ESENCIA DE CHICLE *5KG DISAROMAS,,,
003630004,190901001,,,,(3%) CAJA ACEITE SOYA NAPOLI 110MLX24U,,,
50.26.01.001,50.26.01.001,,,,UVA PASA FLAME MEDIANA CJ 10KG,,,
071256021,071256021,,,,TAT 3 TUBO YODORA CREMAX12GR GTS 1 SUAVITEL DOY PACKX200ML,,,
073051003,1003016,,,,EXTRACTO DE VAINILLA BADIA 59MLX12U,,,
052045,12313891,,,,FELIX TRAVESURAS ORIG MIXX60GRX15U,,,
70.01.06.008,70.01.06.008,,,,ETIQUETA MAYONESA ECONOMICA*3350  LOS PINOS,,,
052923003,12333568,,,,CAT CHOW ADUL FORTI DEFENX250GX20U (BONIF CAT),,,
044071001,00020,,,,PAPEL ALUMINIO TUC RPTOX16MTSX30U,,,
018873003,450102065,,,,GUANTE EXAMEN P/GLOVES T/L X1DPX100U,,,
052999062,12362436,,,,FELIX TRIP DELIC MAR ADUL X500GX12U BONIF PROV,,,
80.01.03.032,80.01.03.032,,,,YOGURT CON TROZOS DE MELOCOTON 1000GR,,,
069253002,63221,,,,DETERGENTE AS BICAR/CANELAX125GX96U P.E,,,
052054001,12400318,,,,TAT P.E  DOG CHOW CACH R/MED GDE XLIFEX350GX24U,,,
016330,310004748,,,,BIANCHI CHOCOLORES MANIX12DX12U,,,
50.16.01.014,50.16.01.014,,,,PREFORMA 20.7 GR /CRISTAL 1881 SMI COLOMBIA SAS,,,
029197009,CO01877A,,,,JABON PALM FRUT BOSQ&AGUA COCOX120GRX72U,,,
044039010,00900006,,,,VASO PAPEL DOM S/IMP 9OZX25PX40U,,,
029109081,029109081,,,,PPACK1 MM - 12 AXION CREMAX450G GTS 02 AXION 720ML,,,
1325045B04,110152,,,,MM PÑ WINNY ULTSEC  ET4X8DPX30U+ 1 LIMPIDO REG 460 ML,,,
005936,828,,,,SOBRE OF. CORRES/CIAX75GRX8PX500SB,,,
029116039,61014193,,,,(8.10%) AXION CREMA ANTIBACTERIAL X235GRX48U,,,
50.23.01.001,50.23.01.001,,,,CILANTRO DESHIDRATADO GREEN FLAVORS,,,
9913005A00,9913005A00,,,,CAJA SIXPACK CERVEZA ANDINA 355ML,,,
3107057B02,7741,,,,BONIF PLAY TROLLI SURT AZULX1DPX24U,,,
003126,1000334631,,,,TALLARIN PREMIUNX250GRX24UN,,,
018422009,415001010,,,,BIBER MUNCHI B/ANCHA 8OZ X 72U,,,
052999061,052999061,,,,POUCHE CAT CHOW GATITOS 85GR MAQUILADO,,,
074009033,1501,,,,(31) SIXPACK COLADO HEINZ SURT 113GX4OF,,,
074009012,1503,,,,COLADO HEINZ 6 SABORESX113GX1CJX24U (FC),,,
029220910,CO01850A,,,,JABON PROTEX LIMP PROFUNDA X120GX72U BONIF,,,
2890901B02,2890901B02,,,,PRO PLAN SURT  TIPO C,,,
019094,03556,,,,CLICK MINTS MASTICABLE  MENTAX20DX50U LINEA,,,
003130002,003130002,,,,2 TALLARIN ESPECX500GRX24U P.E GTS GAS UVA 600ML,,,
043113,12202796,,,,NESTLE DOCELLO MOUSSE CHOCX1.5KGX6U,,,
2846013A00,12455229,,,,PRO PLAN ADT CAT CHKN RIOPTIBREBIO X7.5KG,,,
052069043,12465501,,,,DCHOW HUMEDO ADULT SURTX4DPX100GX4U PE,,,
052910008,32866,,,,NEVERA 46L HACEB,,,
019916,019916,,,,PIN POP BUMBA FRESA X16DX18U BONIF,,,
075906,01011605,,,,ATUN SOBERANA E/AGUA 170GRX48U BONIF,,,
024125,99076,,,,CUAD. COS GD CUAD SCR HUELLITASX100HX60U,,,
50.16.01.018,50.16.01.018,,,,PREFORMA 17 GR GM UNIPLAST SAS,,,
0101016B10,61020299,,,,(P.E CAJA SSM) SUAVITEL ORQUIDEA LAVANDA X180MLX56U,,,
11.10.02.003,11.10.02.003,,,,MAYONESA INSUPERABLE PREMIUM 450 GRM,,,
029901001,CO01268A,,,,AXION CREMA LIMONX235GX48U (BONIF P7 LL8),,,
24.01.01.046,24.01.01.046,,,,COMBO  -MAYONESA PREMIUN 800 GR GRATIS CUCHARA SOPERA CREAR,,,
029354022,FMX04533,,,,DEO MEN SS AER 24/7 EXTRX100GX12U+1 PTEX 75G,,,
016372001,210004969,,,,BIANCHI CHOCOSNACK SURT+SUPERCOCOX48GX12U P.E,,,
029229003,BR03734A,,,,(5.7%) JAB. PROTEX INTIMO DELIC CAREX85GX72U,,,
60.02.01.001,60.02.01.001,,,,ENVASE VIDRIO GOURMET 180 OUTBORDERS,,,
075003015,075003015,,,,12 ATUNES AGUA 140GR GTS 1 HARINA 500 GR,,,
075205022,075205022,,,,TAT 2 SARDINAS TTMATE 425GR GTS 1 CREMA CDC 22ML,,,
70.08.08.002,70.08.08.002,,,,ETIQUETA MARGARINA NAPOLI *200GR,,,
4001006B03,4001006B03,,,,SUP PG12 LL 13 SUPREMO MULTIUSOS 200GR,,,
029969002,CO01236B,,,,AXION DISC LIMON X130GX1U BONIF (3AXION 235),,,
052950061,052950061,,,,DUELO DE GIGANTES DE DICIEMBRE 2021,,,
044073003,00006,,,,PAPEL ALUMINIO DOMINGOX300MTSX6U P.E,,,
069269002,069269002,,,,TAT PAGUE 6 LLEVE 7 AS FLORAL 250 GR,,,
029204002,61009709,,,,(15%) JABON PALM CARBONX120GRX24DPX3U,,,
3190001B57,3190001B57,,,,TAT 8% P.E MIST MENTOLADO SURT + PIN POP POLVO XPLOSION CEREZA + PIN POP BUMBA SURT,,,
1601010B01,310007743,,,,MM FRUWI MASTICABLE +CHAO STREME ORIGINAL GTS 2 TRULULU ORO + TRULULU FRESITAS,,,
1328001B35,634946,,,,TAT PAGUE 12 LLEVE 13 LIMPIDO REG 460 ML,,,
071236029,145419,,,,PPACK MM- PÑ WINNY ULTSEC ET4X4DPX50U GTS 01 LIMPIDO,,,
029105002,61014194,,,,(22%) AXION CREMA ANTIBACTERIAL X450GX24U,,,
0029913,0029913,,,,MINI PLANCHA P/CABELLO VIAJERA KALLEY,,,
052114005,12306289,,,,LADRINA CARNE PARR VGTALX400GX20U P.E,,,
052043,12312696,,,,FELIX POLLO HIGADOX85GRX24U,,,
60.01.04.071,60.01.04.071,,,,COIMPRESION MOVIL NONAPEPA-LECHE CONDESADA GRANNY X300G ALICO D12045,,,
19.06.01.002,19.06.01.002,,,,ACEITE 900ML PALMA *12 MAS X MENOS,,,
018420005,415000912,,,,VASO ENTRETENCION MUNCHY MAGICALX6U,,,
2504001B14,01011619,,,,TAT PG 3 ATUN LA SOBERANA ACEITE 140GR GTS 1 HARINA REPA REPA 500 GR,,,
12.01.02.005,12.01.02.005,,,,TOMATE 90 G DISPLAY *12 CLASICA DOÑA PEPA SACHET,,,
0029990001,0029990001,,,,TV SAMSUNG SMART TV UHD 50 PULG,,,
3190001B08,3190001B08,,,,TAT CLICK FRESA+FERXXO+ENLLAMATE+FRUNA COLOR GTS PIN FERXXO GTS PIN SURT,,,
029406038,MX05086A,,,,(TPR) CDC T/ACCION EXT FRESCURAX75CCX24DX3U,,,
069220,63218,,,,DETERGENTE AS BICAR/CANELAX1000GX20U,,,
60.04.04.020,60.04.04.020,,,,ETIQUETA SELLOS DE ADVERTENCIA,,,
052380008,052380008,,,,(10%) PRO PLAN PUPPY SMALL BREEDX1KGX16U,,,
1610109A00,310004479,,,,TRULULU GUSANOS ACIDOSX12DX80GR,,,
075005004,01011632,,,,TAT-MM ATUN SOBERANA E/ACEITE GIRASOL 160GRX48U,,,
052972,12230549,,,,PRO PLAN REDUCED CALORIE CAT 8UX1.5KG BONIF,,,
3401077A00,110403010,,,,MAYONESA 1000 G  PREMIUM NONA PEPA DOYPACK X 18 UND,,,
19.03.01.010,19.03.01.010,,,,ACEITE 20 L PALMA LA HUERTA BIDON,,,
029395,MX01828A,,,,DES LSS AERO COOL AZULX100GRX12U,,,
70.10.06.006,70.10.06.006,,,,ETIQUETA DE ACEITE PURO NAPOLI  VIDR 500 ML,,,
018116,018116,,,,6 MULTIUSOSX180+6 LAVALOZA LIQ GTS 1 LAVALOZA LIQ 180 ML,,,
2807009A00,12373349,,,,GATSY CARNE ARROZ Y MAIZ P15 17KX1BT,,,
052002001,12366376,,,,CAT CHOW CASTR DEFENSE NATUREX1.3GRX6U,,,
052949001,12294992,,,,PRO PLAN EXIGENT DOG SMALL BREED 6UX3KG BONIF,,,
50.03.08.001,50.03.08.001,,,,ALMIDON WAXY 068901 SNOW FLAKE *25KL -BODEGA EL PANIFICADOR,,,
052446005,12363886,,,,(30%) EXCELLENT ADULT R/PEQ 3KGX6U,,,
029924001,CO01865A,,,,JABON PROTEX VITAMINA EX120GRX24DPX3U (BONIF P4 LL5),,,
029060002,MX06073A,,,,SUAVITEL LAVANDA CONCENTX1300CCX12U,,,
019012015,019012015,,,,3 P.POP (MOR-FRE-SUR G)+SONETTO GTS 1 MORITA,,,
052999133,052999133,,,,AFICHE D/CHOW S COLOR 100% CALIDAD DE VIDA,,,
70.09.08.001,70.09.08.001,,,,ETIQUETA DE ACEITE SOYA EL POBLADO  900 ML,,,
24.02.01.002,24.02.01.002,,,,COMBO 2 - MAY GOURMET 200G + PIÑA 250G HUERTA,,,
70.11.01.006,70.11.01.006,,,,ETIQUETA  GLASSES 500 FRESA -AMBIENTE GRAF,,,
074009026,1501,,,,(30) SIXPACK COLADO HEINZ SURT 113GX4OF,,,
029403014,FCO63138,,,,(4%) CDC TRIP ACCX50CCX96U+CEP PREM CLEAN P.E,,,
